ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2023-08-01,1692824.125998486,546394.4952256236,1178944.3928261963,1692824.125998486,1692824.125998486,-829623.5271595028,-829623.5271595028,-829623.5271595028,-829623.5271595028,-829623.5271595028,-829623.5271595028,0.0,0.0,0.0,863200.5988389832
2023-09-01,1667135.575185235,918258.963997378,1547487.1817354786,1667135.575185235,1667135.575185235,-432266.31778574863,-432266.31778574863,-432266.31778574863,-432266.31778574863,-432266.31778574863,-432266.31778574863,0.0,0.0,0.0,1234869.2573994864
2023-10-01,1642275.6872389081,1478419.4711017911,2121590.8286550073,1642275.6872389081,1642275.6872389081,161594.55615302056,161594.55615302056,161594.55615302056,161594.55615302056,161594.55615302056,161594.55615302056,0.0,0.0,0.0,1803870.2433919287
2023-11-01,1616587.1364153782,1233222.3898800297,1855690.803711932,1616587.1364153782,1616587.1364153782,-69115.52689223152,-69115.52689223152,-69115.52689223152,-69115.52689223152,-69115.52689223152,-69115.52689223152,0.0,0.0,0.0,1547471.6095231466
2023-12-01,1591727.2485024289,347152.6554021676,980448.696761039,1591727.2485024289,1591727.2485024289,-915224.241509993,-915224.241509993,-915224.241509993,-915224.241509993,-915224.241509993,-915224.241509993,0.0,0.0,0.0,676503.0069924359
2024-01-01,1566038.697596084,1163535.9530771186,1802838.5940126053,1566038.697596084,1566038.697596084,-77496.79694804472,-77496.79694804472,-77496.79694804472,-77496.79694804472,-77496.79694804472,-77496.79694804472,0.0,0.0,0.0,1488541.9006480393
2024-02-01,1540350.1466578413,1229639.0110417474,1870672.0156921404,1540350.1466578413,1540350.1466578413,8575.586966313116,8575.586966313116,8575.586966313116,8575.586966313116,8575.586966313116,8575.586966313116,0.0,0.0,0.0,1548925.7336241545
2024-03-01,1516318.9215865815,2063329.101133095,2684552.799236436,1516318.9215865815,1516318.9215865815,851114.7973743425,851114.7973743425,851114.7973743425,851114.7973743425,851114.7973743425,851114.7973743425,0.0,0.0,0.0,2367433.718960924
2024-04-01,1490630.3706483385,1346720.3793275084,1955681.37490573,1490630.3706483385,1490630.3706483385,159943.90204913425,159943.90204913425,159943.90204913425,159943.90204913425,159943.90204913425,159943.90204913425,0.0,0.0,0.0,1650574.2726974727
2024-05-01,1465770.4826435873,680831.0670463457,1292178.0636691367,1465770.4826435873,1465770.4826435873,-482492.60712152027,-482492.60712152027,-482492.60712152027,-482492.60712152027,-482492.60712152027,-482492.60712152027,0.0,0.0,0.0,983277.8755220671
